ID,Business,Street Address,City,State,ZIP,Latitude,Longitude,Type of Installation,Georeference
78,Bolla Operating LI Corp,1340 Motor Parkway,Islandia,NY,11749,40.80835,-73.19249,Permanent Generator,POINT (-73.19249 40.80835)
555,Bill Wolf Petroleum Maintenance LLC,1143 Clarkson Avenue,Brooklyn,NY,11212,40.661251,-73.920611,Transfer Switch Only,POINT (-73.920611 40.661251)
754,"Big Apple Petroleum Realty, Llc",154-02 Horace Harding Expy,Queens,NY,11367,40.73834,-73.8147,Transfer Switch Only,POINT (-73.8147 40.73834)
194,Hess Corporation,870 Route 58,Riverhead,NY,11901,40.934611,-72.669939,Transfer Switch Only,POINT (-72.669939 40.934611)
538,Shop & Save Inc.,1901 Deer Park Avenue,Deer Park,NY,11729,40.761679,-73.328883,Transfer Switch Only,POINT (-73.328883 40.761679)
670,"Cumberland Farms, Inc.",2399 Jericho Turnpike,Garden City Park,NY,11040,40.742508,-73.66093,Transfer Switch Only,POINT (-73.66093 40.742508)
902,JS Petroleum & Food Corp.,176 McGuiness Boulevard,Brooklyn,NY,11222,40.728586,-73.95015,Transfer Switch Only,POINT (-73.95015 40.728586)
687,"Cumberland Farms, Inc.",18-10 Utopia Parkway,Queens,NY,11357,40.780666,-73.794407,Transfer Switch Only,POINT (-73.794407 40.780666)
477,S M Enterprises Inc.,1171 Sunrise Hwy,Bay Shore,NY,11706,40.732573,-73.265874,Transfer Switch Only,POINT (-73.265874 40.732573)
643,"Cumberland Farms, Inc.",236-01 Linden Blv,Elmont,NY,11003,40.690783,-73.72552,Transfer Switch Only,POINT (-73.72552 40.690783)
527,"Sunergy New Rochelle, Inc",690 Main Street,New Rochelle,NY,10801,40.904452,-73.787764,Transfer Switch Only,POINT (-73.787764 40.904452)
638,"Cumberland Farms, Inc.",892 Wantagh Avenue,Wantagh,NY,11793,40.702024,-73.506006,Transfer Switch Only,POINT (-73.506006 40.702024)
490,Bill Wolf Petroleum Maintenance LLC,3046 Coney Island Av,Brooklyn,NY,11235,40.581584,-73.960278,Transfer Switch Only,POINT (-73.960278 40.581584)
591,"Cumberland Farms, Inc.",410 Wheeler Road,Hauppauge,NY,11788,40.809897,-73.217998,Transfer Switch Only,POINT (-73.217998 40.809897)
680,"Cumberland Farms, Inc.",138-19 Hillside Avenue,Queens,NY,11435,40.704617,-73.816015,Transfer Switch Only,POINT (-73.816015 40.704617)
971,C&S Oil Corporation,2665 Hempstead Tpk,Levittown,NY,11756,40.724688,-73.536871,Transfer Switch Only,POINT (-73.536871 40.724688)
548,Quality Fuel 1 Corp.,1235 Deer Park Avenue,North Babylon,NY,11703,40.7375,-73.3198333333333,Transfer Switch Only,POINT (-73.3198333333333 40.7375)
213,Hess Corporation,3501 Fort Hamilton Parkway,Brooklyn,NY,11218,40.64489,-73.987017,Transfer Switch Only,POINT (-73.987017 40.64489)
707,Arzu Petroleum Corp,153 E Main St,East Islip,NY,11730,40.732998,-73.183376,Transfer Switch Only,POINT (-73.183376 40.732998)
97,10th Ave Petroleum LLC,466 10th Ave,NY,NY,10018,40.756005,-73.997716,Permanent Generator,POINT (-73.997716 40.756005)
623,"Cumberland Farms, Inc.",499 Old Country Rd,Hicksville,NY,11801,40.7692,-73.501569,Transfer Switch Only,POINT (-73.501569 40.7692)
838,Warex Terminals Corporation,1917 Commerce Street,Yorktown Heights,NY,10598,41.274317,-73.780647,Transfer Switch Only,POINT (-73.780647 41.274317)
394,Bolla Operating Corp.,378 Coney Island Avenue,Brooklyn,NY,11218,40.6485,-73.97186,Transfer Switch Only,POINT (-73.97186 40.6485)
648,"Cumberland Farms, Inc.",765 Pennsylvania Avenue,Brooklyn,NY,11207,40.659174,-73.890566,Transfer Switch Only,POINT (-73.890566 40.659174)
998,Atlantis Management Group II LLC,626 West Main Street,Riverhead,NY,11901,40.918302,-72.673108,Transfer Switch Only,POINT (-72.673108 40.918302)
986,Merrick Bellmore Service Center Inc.,2801 Merrick Road,Bellmore,NY,11710,40.664611,-73.522247,Transfer Switch and Generator,POINT (-73.522247 40.664611)
702,Gaseteria Oil Corp,2326 1st Avenue,New York,NY,10035,40.79805,-73.933537,Transfer Switch Only,POINT (-73.933537 40.79805)
516,East End Marketing,112 Montauk Hwy,Westhampton Beach,NY,11978,40.82216,-72.646484,Transfer Switch Only,POINT (-72.646484 40.82216)
739,Windhorse Gas Station Inc,569 Myrtle Avenue,Brooklyn,NY,11205,40.694225,-73.961547,Transfer Switch Only,POINT (-73.961547 40.694225)
655,"Cumberland Farms, Inc.",154-11 Horace Harding Expy,Queens,NY,11367,40.73939,-73.814376,Transfer Switch Only,POINT (-73.814376 40.73939)
458,"Sunoco, Inc. (R+M)",71 Huguenot Street,New Rochelle,NY,10801,40.913711,-73.776391,Transfer Switch Only,POINT (-73.776391 40.913711)
985,"Wellwood Gas, Inc.",697 North Wellwood Avenue,Lindenhurst,NY,11757,40.703798,-73.386821,Transfer Switch Only,POINT (-73.386821 40.703798)
174,Main Broadway,902 Soundview Av,Bronx,NY,10473,40.823253,-73.867622,Transfer Switch Only,POINT (-73.867622 40.823253)
912,Hill Enterprise Inc,3818 Sunrise Highway,Seaford,NY,11783,40.674106,-73.491258,Transfer Switch Only,POINT (-73.491258 40.674106)
722,Super Value NY Inc.,422 Gramatan Ave,Mount Vernon,NY,10532,40.921813,-73.837603,Transfer Switch Only,POINT (-73.837603 40.921813)
14,Bolla Operating LI Corp,1220 Fulton Avenue,Uniondale,NY,11553,40.718523,-73.590114,Permanent Generator,POINT (-73.590114 40.718523)
